Transect,Htypes,LargeTrees,MediumTrees,SmallTrees,Palms,Rattan,Pandan,HerbsCover,BambooCover,RockCover,GroundCover,WaterDistance,FallenTrees,FruitTrees,FloweringTrees
IT1P0,ESG,3,10,20,3,3,5,20,5,3,30,100,1,3,10
IT1P1,ESG,0,3,15,0,0,0,3,0,50,40,0,0,2,3
IT1P2,ESG,0,1,10,0,0,2,5,3,10,60,0,2,5,6
IT1P3,ESG,0,1,15,0,1,2,2,3,1,30,0,0,3,5
IT1P4,ESG,1,3,15,0,1,3,30,0,15,40,0,0,3,5
IT1P5,ESG,3,6,4,4,0,0,50,10,50,50,0,0,3,4
IT1P6,ESG,1,2,16,4,5,0,60,10,30,20,0,2,3,4
IT2P0,ESG,1,1,13,4,0,0,60,10,80,10,5,0,3,4
IT2P1,ESG,1,1,3,5,1,0,40,0,20,5,0,1,2,3
IT2P2,ESG,2,5,4,3,0,2,10,10,50,30,0,2,4,3
IT2P3,ESG,1,5,7,6,3,0,60,5,90,20,10,0,6,8
IT2P4,ESG,3,8,10,0,3,0,50,0,80,20,0,2,6,9
IT2P5,ESG,1,4,10,26,1,0,20,0,80,20,5,2,8,6
IT2P6,CVT,2,5,4,25,10,0,50,5,70,20,4,1,5,3
IT2P7,CVT,1,7,10,10,2,0,50,0,90,20,6,0,4,3
IT3P0,CVT,0,4,10,5,0,3,10,3,80,25,3,0,3,6
IT3P1,CVT,5,4,5,10,0,0,25,5,60,25,3,0,7,6
IT3P2,CVT,1,0,0,0,0,0,5,5,20,20,3,0,5,7
IT3P3,CVT,0,0,0,5,0,0,2,2,30,60,3,0,4,6
IT3P4,CVT,0,0,0,31,0,0,0,0,0,100,0,0,31,31
ST1P0,ASG,6,10,16,2,5,4,30,10,30,50,50,0,4,3
ST1P1,ASG,3,10,10,1,3,6,30,20,10,60,50,1,6,2
ST1P2,ASG,2,11,8,0,2,3,40,10,20,40,0,0,3,4
ST1P3,ASG,3,9,13,1,3,4,50,30,30,50,0,3,5,3
ST1P4,ASG,0,3,10,3,1,0,30,10,60,60,0,1,3,1
ST1P5,ASG,3,10,11,2,0,0,40,5,30,70,0,1,4,3
ST1P6,ASG,8,7,16,0,0,1,50,0,30,60,0,2,1,3
ST1P7,ASG,1,4,10,1,2,3,60,10,40,60,0,0,3,1
ST1P8,ASG,2,6,13,1,2,0,30,5,50,50,0,1,3,1
ST2P0,ASG,2,2,4,10,3,6,20,0,40,10,3,0,4,9
ST2P1,ASG,2,2,3,3,20,4,30,10,60,10,0,0,5,8
ST2P2,ASG,2,4,7,2,6,8,25,20,40,10,0,0,4,8
ST2P3,ASG,1,3,8,15,10,5,20,2,50,10,0,0,4,8
ST2P4,ASG,1,4,2,2,3,2,10,5,60,20,0,0,3,7
ST2P5,ASG,3,3,10,4,6,3,10,10,50,10,0,1,4,6
ST2P6,ASG,1,0,0,3,30,0,10,5,40,15,0,1,3,6
ST2P7,ASG,2,2,5,4,6,8,5,3,60,20,0,1,4,6
ST2P8,ASG,1,6,7,6,10,3,0,20,50,20,0,0,7,9
ST3P0,ASG,1,3,8,15,10,5,20,2,30,10,3,0,4,5
ST3P1,ASG,2,2,3,4,20,30,10,60,40,10,4,1,3,2
ST3P2,ASG,2,11,8,0,2,3,40,10,20,40,2,1,3,6
ST3P3,ASG,1,2,9,13,19,2,5,20,60,40,15,1,5,7
ST3P4,ASG,0,2,9,0,5,7,20,30,50,50,30,0,5,6
ST3P5,ASG,2,9,14,2,5,3,30,10,40,60,30,2,6,3
ST3P6,ASG,0,5,6,0,0,3,20,5,30,70,70,0,10,9
ST3P7,ASG,1,0,3,10,0,0,10,5,3,80,50,0,10,10
ST3P8,ASG,1,1,3,6,1,0,20,5,5,80,30,0,4,6